date,year,month,day,label,vintage,style,country,price,quantity,rate
2021-01-04,2021,1,4,Wine K,2002,White,Portugal,144.22,9,97
2021-03-11,2021,3,11,Wine J,1982,Red,Portugal,244.8,3,76
2021-10-02,2021,10,2,Wine Y,2018,Orange,France,98.83,2,79
2021-06-05,2021,6,5,Wine I,1989,Red,Spain,59.64,11,77
2021-09-06,2021,9,6,Wine N,2006,White,Spain,187.7,6,91
2021-07-10,2021,7,10,Wine O,2020,White,Chile,196.02,13,79
2021-11-01,2021,11,1,Wine A,2003,Red,USA,464.32,9,99
2021-08-22,2021,8,22,Wine Y,1994,Orange,Portugal,135.36,11,83
2021-03-06,2021,3,6,Wine R,2007,Sparkling,Argentina,178.77,14,96
2021-04-25,2021,4,25,Wine Y,1988,Orange,Italy,70.33,9,95
2021-06-08,2021,6,8,Wine Y,1982,Orange,France,314.98,12,89
2021-02-01,2021,2,1,Wine Z,1983,Orange,Portugal,105.53,4,78
2021-11-06,2021,11,6,Wine S,2017,Rose,Chile,212.07,12,92
2021-04-22,2021,4,22,Wine N,2019,White,Uruguay,229.17,8,75
2021-08-12,2021,8,12,Wine L,1985,White,Italy,73.44,5,82
2021-11-20,2021,11,20,Wine N,2006,White,USA,785.1,2,83
2021-12-19,2021,12,19,Wine L,1992,White,Germany,367.1,8,82
2021-04-22,2021,4,22,Wine G,2018,Red,USA,410.45,7,98
2021-08-10,2021,8,10,Wine S,2015,Rose,Germany,201.26,10,91
2021-02-15,2021,2,15,Wine W,1991,Sweet,France,159.56,13,90
2021-03-04,2021,3,4,Wine T,1984,Rose,Italy,188.16,3,75
2021-02-06,2021,2,6,Wine U,2018,Rose,Germany,57.91,9,96
2021-08-10,2021,8,10,Wine R,1982,Sparkling,Argentina,209.4,8,76
2021-05-06,2021,5,6,Wine L,2006,White,Portugal,451.14,12,100
2021-02-02,2021,2,2,Wine M,1982,White,Portugal,116.16,1,76
2021-02-03,2021,2,3,Wine P,1983,Sparkling,Germany,219.81,11,82
2021-02-01,2021,2,1,Wine X,2002,Sweet,Italy,80.8,11,97
2021-07-14,2021,7,14,Wine E,1983,Red,Chile,306.1,15,99
2021-05-21,2021,5,21,Wine X,1996,Sweet,Portugal,66.91,10,98
2021-09-16,2021,9,16,Wine Q,2015,Sparkling,Chile,290.29,11,90
2021-12-06,2021,12,6,Wine L,1990,White,Italy,176.08,2,80
2021-07-14,2021,7,14,Wine G,1998,Red,Italy,272.86,11,86
2021-02-01,2021,2,1,Wine R,2001,Sparkling,France,69.36,15,91
2021-07-11,2021,7,11,Wine N,1982,White,Germany,71.0,5,77
2021-12-31,2021,12,31,Wine U,1986,Rose,Portugal,336.49,15,79
2021-03-08,2021,3,8,Wine O,2018,White,Uruguay,214.12,9,81
2021-10-23,2021,10,23,Wine L,1991,White,Uruguay,473.6,1,78
2021-02-18,2021,2,18,Wine O,1998,White,Argentina,249.64,2,94
2021-05-30,2021,5,30,Wine N,2005,White,USA,66.86,9,76
2021-05-19,2021,5,19,Wine X,2000,Sweet,Italy,86.54,2,100
2021-09-24,2021,9,24,Wine S,1992,Rose,Portugal,135.31,2,93
2021-03-16,2021,3,16,Wine P,2020,Sparkling,Chile,490.54,3,78
2021-09-03,2021,9,3,Wine H,2016,Red,Portugal,62.67,6,84
